k,activ_prob_mean,activ_prob_mean_ci95_min,activ_prob_mean_ci95_max,activ_prob_raw_mean,activ_prob_raw_mean_ci95_min,activ_prob_raw_mean_ci95_max,raw_baseline_mean,raw_baseline_mean_ci95_min,raw_baseline_mean_ci95_max,baseline2_mean,baseline2_mean_ci95_min,baseline2_mean_ci95_max,base_diff_mean,base_diff_mean_ci95_min,base_diff_mean_ci95_max,raw_base_diff_mean,raw_base_diff_mean_ci95_min,raw_base_diff_mean_ci95_max,Prod_high_mean,Prod_high_mean_ci95_min,Prod_high_mean_ci95_max,Prod_low_mean,Prod_low_mean_ci95_min,Prod_low_mean_ci95_max,Prod_diff_mean,Prod_diff_mean_ci95_min,Prod_diff_mean_ci95_max,Prod_raw_high_mean,Prod_raw_high_mean_ci95_min,Prod_raw_high_mean_ci95_max,Prod_raw_low_mean,Prod_raw_low_mean_ci95_min,Prod_raw_low_mean_ci95_max,Prod_raw_diff_mean,Prod_raw_diff_mean_ci95_min,Prod_raw_diff_mean_ci95_max,base_diff2_mean,base_diff2_mean_ci95_min,base_diff2_mean_ci95_max,overall_den_mean,Prod_den_high1_mean,Prod_den_low1_mean,Imp1_high_mean,Imp1_high_mean_ci95_min,Imp1_high_mean_ci95_max,Imp1_low_mean,Imp1_low_mean_ci95_min,Imp1_low_mean_ci95_max,Imp1_diff_mean,Imp1_diff_mean_ci95_min,Imp1_diff_mean_ci95_max,Imp1_raw_high_mean,Imp1_raw_high_mean_ci95_min,Imp1_raw_high_mean_ci95_max,Imp1_raw_low_mean,Imp1_raw_low_mean_ci95_min,Imp1_raw_low_mean_ci95_max,Imp1_raw_diff_mean,Imp1_raw_diff_mean_ci95_min,Imp1_raw_diff_mean_ci95_max,Imp1_den_high1_mean,Imp1_den_low1_mean,baseline,min_works,topic,windows
0,0.001449112500351346,0.0014243159236784252,0.0014746537315064505,0.000590842453465,0.0005720579024597509,0.000607758871864988,0.0,0.0,0.0,0.0005367248124578251,0.0005241639768759381,0.0005489379684500339,0.0008577891859336463,0.0008328482122450407,0.0008835908534240561,0.000590842453465,0.0005718547333954767,0.0006072404274404196,,,,,,,,,,,,,,,,,,,0.0009123876878935211,0.000892129928594844,0.0009343124525591479,3003827.4615384615,,,,,,,,,,,,,,,,,,,,,,,0.0005913233144177,3000,Dark matter,13
1,0.015381289229126531,0.013918106714057124,0.016838097607141406,0.004788784080138823,0.00422498551632551,0.005387968965900775,0.004788784080138813,0.004217408013271509,0.005380555360013564,0.009906885679747426,0.008741507957276918,0.011112995481287564,0.00545078690426823,0.004000528507897602,0.00687882106014154,9.67441938525527e-18,-1.0775301591163629e-17,2.8690491488979866e-17,0.025378720403952306,0.022383884142892947,0.028599804422939027,0.016597980295555977,0.014278347795873727,0.019251452073859778,0.00878074010839633,0.0064329757410745946,0.011610541700706703,0.014685230588664399,0.012634582112235655,0.016977237771343173,0.01328516133208124,0.011224312684883638,0.01579555784934283,0.0014000692565831615,-0.0005308317259032183,0.0033026766843922903,0.005474403549379104,0.005099354879293181,0.005824878611162215,189917.38461538462,38359.230769230766,16189.846153846154,0.029549350365510242,0.02601896215868219,0.03329615874026073,0.016150534262589868,0.014384477274686589,0.017856210089927296,0.013398816102920368,0.010560482609058163,0.016305854329817716,0.01871410574782093,0.0162676441984867,0.021352111978748648,0.014168839495715183,0.012179892665591354,0.0163512694048992,0.004545266252105746,0.0022394669660152147,0.006766834249605976,26436.23076923077,11226.076923076924,0.0099305023248583,3000,Dark matter,13
2,0.028115601215556,0.025423417356378784,0.030666254906547175,0.011004752058559532,0.009559276285627602,0.012453322691495853,0.009553501782289274,0.00842546935047861,0.01074452571287175,0.017031432345005267,0.014927652789269755,0.019172335097776664,0.0111104735395773,0.008469732797297836,0.013686373153553007,0.0014512502762702563,0.0009837056135460728,0.0019338915115806727,0.04557195081929744,0.040888576944210296,0.050386297168479456,0.02454392798148262,0.021592871536519346,0.027905444875986268,0.021028022837814818,0.016265657343517575,0.026030663723843578,0.03111594025743083,0.02700330435822089,0.03506723315451733,0.021014234240952098,0.017853284274806216,0.024379073779142856,0.010101706016478732,0.0060491894682396475,0.014806007958489789,0.011084168870550732,0.010263739357000128,0.01189453216949561,86739.0,13127.692307692309,4656.153846153846,0.050513875054506024,0.04557243243470586,0.05568321895828383,0.02110020648886266,0.018716153937509566,0.02341171660887677,0.02941366856564337,0.024835370710210126,0.0341545459066274,0.03661816317046986,0.031802869874184805,0.04146740512177247,0.018402187720869954,0.015864715019270215,0.021187508959318566,0.018215975449599908,0.014400135109528894,0.02207750657628523,8814.461538461539,3186.3846153846152,0.0170051276759787,3000,Dark matter,13
3,0.0386707195170009,0.03540301455176633,0.04181640273486616,0.016946951997867676,0.014963534535860681,0.01898256502025942,0.014294279427275843,0.012571920681325649,0.01605822290011023,0.022941808320446486,0.02027472781635565,0.025804683157754985,0.015761979183396505,0.012342628566647425,0.018930181828211514,0.002652672570591834,0.001890883764589303,0.003385196476269343,0.05940223594589527,0.05430252846418526,0.06479802681435384,0.02862431530872663,0.025181269835351825,0.03245727010652324,0.03077792063716864,0.02491495182884748,0.03642170808749822,0.04302871425802149,0.037915506396021606,0.048448105944065754,0.026667701201126343,0.022396436098983327,0.03103394372065654,0.01636101305689514,0.009959299832988223,0.02258497645921112,0.015728911196554413,0.014687389482536383,0.016772184300002373,53588.0,6646.0,2140.6153846153848,0.06386494098368209,0.05841446969867143,0.06954281147208824,0.02406954579302977,0.020686672662811868,0.027364841523614864,0.03979539519065231,0.03430421407432421,0.04570366139395712,0.047222758624983326,0.04151122218611739,0.05350609241481816,0.023297042550640266,0.018605256506094268,0.028558640222915162,0.02392571607434306,0.016760126501100554,0.030645015817104094,4473.7692307692305,1469.7692307692307,0.0229087403336044,3000,Dark matter,13
4,0.046868636910575974,0.0430551589784312,0.050501516040142864,0.02308297559154232,0.02015548138113506,0.025952081109871548,0.019011242647632577,0.016816937857415722,0.021291237828419886,0.02761826345508935,0.024327540085983642,0.030969432056212953,0.019274825063838267,0.015369570515795745,0.022875317710964158,0.00407173294390974,0.003303494182133011,0.004791986927012981,0.06914728866347337,0.06353757876929363,0.0750094467240744,0.030043835665711303,0.02646902675659487,0.03450950344370573,0.03910345299776207,0.03140413186646232,0.045832381215539196,0.05390781566809865,0.04674151641235758,0.06111518594337429,0.028995417181397802,0.02468072685432393,0.03395224139873123,0.024912398486700845,0.018413366684805168,0.03232270728990392,0.019250373455486622,0.01796497667197454,0.020630912246624833,38846.07692307692,4138.538461538462,1249.3846153846155,0.07416613452815814,0.06841677787570029,0.07987805274206315,0.02470112712497608,0.020389581462564393,0.028954740367780174,0.049465007403182056,0.04264348705438289,0.05696934389447803,0.062159160466983734,0.052901457359518664,0.07231828756986337,0.023213991979427116,0.01871730143726178,0.028328087982068872,0.038945168487556595,0.02955801560432806,0.04862774828778776,2745.6153846153848,855.0769230769231,0.0275938118467377,3000,Dark matter,13
5,0.053891401434313674,0.04966235075442423,0.05762707087520851,0.028303381252980563,0.024052679079057504,0.032906198462559204,0.023704516391471427,0.020876268448605368,0.026612018980363986,0.03179199579843786,0.02794005879973006,0.0356653734634518,0.022102742012532775,0.017920633306986837,0.02592174356234443,0.0045988648615091325,0.0027506756859231977,0.006872430258356033,0.07665406702491172,0.07119311301119086,0.08199227983658462,0.030472975921223,0.02662319614095997,0.03610495967559522,0.046181091103688725,0.03634262298378896,0.05399626795365678,0.05763712311899147,0.051778776659555166,0.06366961159093043,0.030125799745044143,0.024007642355695087,0.03648850160194421,0.027511323373947343,0.0196071953536759,0.035968468294299616,0.022099405635875827,0.020534946360842,0.023928907122678176,29945.923076923078,2772.923076923077,795.3846153846154,0.0801174603584174,0.07404855673353129,0.08530089131513195,0.02542920647317762,0.019721595184620216,0.03175153027596541,0.05468825388523979,0.047922666236342885,0.06189859584413971,0.06263452573058421,0.05411549740866097,0.07171503967901588,0.03162326796811072,0.023164912173927483,0.03968515092189538,0.031011257762473488,0.020470247570828822,0.04090046726662426,1842.8461538461538,544.1538461538462,0.0317886594217809,3000,Dark matter,13
6,0.059703238192210975,0.055560157007933694,0.06355327361290063,0.03282117194937538,0.028874531632334707,0.03694041453503123,0.028374224926328597,0.025077218297068334,0.03174502759061118,0.035326782561011454,0.03118226713141172,0.039540920176473045,0.024363145142579777,0.02003651995946232,0.028103067257550025,0.0044469470230467795,0.002363103739397508,0.006519551352014586,0.0842164385485365,0.07770606627830241,0.09076251524261125,0.030918917405422876,0.02515517316599693,0.03875200325470348,0.05329752114311362,0.04002648092653945,0.06412269761634506,0.07213685193396406,0.062259047305380066,0.08246146194611341,0.02593711238649943,0.021121094576891604,0.03077975682358298,0.04619973954746464,0.03531822479775931,0.057027025013228434,0.024376455631199525,0.022313967638350994,0.02662772620741639,24387.0,1997.3076923076924,549.0,0.0871605133438065,0.08052979093256318,0.09228382717609131,0.022562690879764615,0.01640102666556003,0.02956908125103125,0.0645978224640419,0.05610326653701536,0.07310945089362189,0.06785598047197985,0.05922242097122675,0.0776460193263817,0.02163701067714498,0.010647303804881887,0.03727383088864545,0.0462189697948349,0.027149233165166486,0.06150334452375862,1324.3076923076924,372.7692307692308,0.0353400930496312,3000,Dark matter,13
7,0.06507815485946605,0.0605821517023963,0.06905963935430562,0.03669901746402275,0.031645557403049314,0.04183037623614721,0.03302049184298847,0.029124325960966303,0.03697437133117836,0.03860821988142165,0.03409618253578032,0.04328330412245339,0.02643702801463965,0.02195003417504379,0.03041285275067227,0.0036785256210342746,0.0018018250337631058,0.005670409954816031,0.08859954632932009,0.08190319385647181,0.09487652230498353,0.03305073700869816,0.025360186318455012,0.043211606328457296,0.055548809320621936,0.039577905666126956,0.06839144563496742,0.07680184951881835,0.06823526424886478,0.08518659724816928,0.044640540288267125,0.030152579734552137,0.0601723270779836,0.03216130923055122,0.011763840968850704,0.05057647889253216,0.026469934978044403,0.02378190040399591,0.02942831081920539,20317.53846153846,1473.6923076923076,396.61538461538464,0.09323619129880266,0.08548785731005022,0.10019095904342401,0.02276870551680701,0.016602627910729667,0.029337810653909186,0.07046748578199566,0.06089834066710315,0.07987428792231444,0.07192665741285545,0.059189616639419566,0.08613924017387149,0.028028745990240515,0.018044149154235713,0.03781107498019739,0.043897911422614934,0.025760915589252528,0.06516922685933169,997.2307692307693,267.53846153846155,0.0386411268448264,3000,Dark matter,13
8,0.06988651296155952,0.06528769525725991,0.07402052665213465,0.040804108210403936,0.03612320047772914,0.045173401977460184,0.03764344005928573,0.03319702429768553,0.04209574660129713,0.04152864109036442,0.03670140625089274,0.0464225192583984,0.028310042780951825,0.023662392725044248,0.032340498400730236,0.003160668151118211,0.0009445090017527668,0.005481735969030191,0.09212405558539492,0.0849538596983303,0.09919832513521877,0.029334859533472632,0.020084846034713014,0.04040315445284313,0.06278919605192232,0.045553819953501135,0.07804757186039774,0.07937619212679753,0.06861993701443951,0.09191199857107094,0.023344564773348623,0.014266596831889413,0.03461493069742282,0.05603162735344891,0.041757731295620326,0.07009044687811136,0.028357871871195102,0.024998693560662474,0.031909412859306,17370.46153846154,1139.3846153846155,299.6923076923077,0.0993868405624249,0.09109082405616173,0.10641143960680786,0.020739637817081134,0.013551780827832517,0.028346026377363477,0.07864720274534379,0.0701244937094039,0.08660546822631368,0.06827426321435724,0.056246304610487505,0.08089509891151386,0.032706580331723106,0.015528289612984128,0.051510111514486236,0.03556768288263413,0.01250170347872553,0.057517603024930516,782.0769230769231,195.23076923076923,0.0415764701806077,3000,Dark matter,13
9,0.07441277835914947,0.06963621936795322,0.07850302022390752,0.04425434530003254,0.038841142835437326,0.04935190357218227,0.04224319182388526,0.037315445089854106,0.047322759638930886,0.044292269410344705,0.03905810881281049,0.04951963977761193,0.030065377523445364,0.025339441681436443,0.034233904242211705,0.002011153476147271,-0.0005735967390569908,0.004735722663278322,0.09566398309992477,0.08753127194577884,0.10279207145227626,0.03145305933478361,0.020822458897020304,0.043498614154378695,0.06421092376514115,0.04518217265484209,0.0805860091916702,0.07671788757519794,0.06658570053343034,0.08684782344708059,0.0387949657180426,0.018275341111879537,0.06409834823296358,0.03792292185715534,0.00887747422049488,0.06206950229475771,0.03012050894880475,0.026223076822525122,0.03407675969645646,15036.923076923076,891.9230769230769,223.30769230769232,0.10719605730644789,0.09760313435735128,0.11620069577374588,0.017612756779998368,0.011915568271802788,0.023674665457292778,0.08958330052644954,0.08121978755515018,0.09763339952353303,0.09573029095469753,0.07507710313673661,0.11848614696328236,0.01545429208472686,0.004807692307692308,0.02781029357116312,0.08027599886997064,0.05429107680154144,0.10756652025562108,622.4615384615385,148.46153846153845,0.0443474008357041,3000,Dark matter,13
