k,activ_prob_mean,activ_prob_mean_ci95_min,activ_prob_mean_ci95_max,activ_prob_raw_mean,activ_prob_raw_mean_ci95_min,activ_prob_raw_mean_ci95_max,raw_baseline_mean,raw_baseline_mean_ci95_min,raw_baseline_mean_ci95_max,baseline2_mean,baseline2_mean_ci95_min,baseline2_mean_ci95_max,base_diff_mean,base_diff_mean_ci95_min,base_diff_mean_ci95_max,raw_base_diff_mean,raw_base_diff_mean_ci95_min,raw_base_diff_mean_ci95_max,Prod_high_mean,Prod_high_mean_ci95_min,Prod_high_mean_ci95_max,Prod_low_mean,Prod_low_mean_ci95_min,Prod_low_mean_ci95_max,Prod_diff_mean,Prod_diff_mean_ci95_min,Prod_diff_mean_ci95_max,Prod_raw_high_mean,Prod_raw_high_mean_ci95_min,Prod_raw_high_mean_ci95_max,Prod_raw_low_mean,Prod_raw_low_mean_ci95_min,Prod_raw_low_mean_ci95_max,Prod_raw_diff_mean,Prod_raw_diff_mean_ci95_min,Prod_raw_diff_mean_ci95_max,base_diff2_mean,base_diff2_mean_ci95_min,base_diff2_mean_ci95_max,overall_den_mean,Prod_den_high1_mean,Prod_den_low1_mean,Imp1_high_mean,Imp1_high_mean_ci95_min,Imp1_high_mean_ci95_max,Imp1_low_mean,Imp1_low_mean_ci95_min,Imp1_low_mean_ci95_max,Imp1_diff_mean,Imp1_diff_mean_ci95_min,Imp1_diff_mean_ci95_max,Imp1_raw_high_mean,Imp1_raw_high_mean_ci95_min,Imp1_raw_high_mean_ci95_max,Imp1_raw_low_mean,Imp1_raw_low_mean_ci95_min,Imp1_raw_low_mean_ci95_max,Imp1_raw_diff_mean,Imp1_raw_diff_mean_ci95_min,Imp1_raw_diff_mean_ci95_max,Imp1_den_high1_mean,Imp1_den_low1_mean,baseline,min_works,topic,windows
0,0.002836397225624375,0.0027505044897042914,0.0029201511925334442,0.0017046812176661063,0.0016370802878768575,0.001768228745443082,0.0,0.0,0.0,0.0012743657996713972,0.001142172246635463,0.0014035827347505898,0.0013645723392989749,0.0012789473985594896,0.0014515554215926965,0.0017046812176661063,0.0016363358065293256,0.0017676820996701914,,,,,,,,,,,,,,,,,,,0.0015620314259529777,0.0014913616635885733,0.0016258678952869067,2775319.4375,,,,,,,,,,,,,,,,,,,,,,,0.0014718248863254,3000,Fluid dynamics,16
1,0.015048802402607055,0.014368541856800797,0.015679608490647978,0.007838176484668783,0.007246587242688052,0.00841332333547505,0.007838176484668787,0.0072627329615282,0.008406080188769519,0.01580828285390435,0.014991626785517628,0.01659344400543452,-0.0013519054838540435,-0.0020246364136534585,-0.0007243929138613053,-5.312590645178972e-18,-1.8539857149502126e-17,8.239936510889834e-18,0.017605404070627204,0.01606253881460067,0.019216026931169312,0.01409349026969935,0.013156828629899222,0.01502811111116755,0.003511913800927856,0.002491403992144445,0.004758518010185352,0.011777437025710213,0.01047897846363911,0.013192477313102576,0.012075140823785725,0.011207838726092538,0.01298843048921333,-0.00029770379807551265,-0.0012849903278237072,0.0009045940228865423,-0.0007594804512972938,-0.0010382732826647227,-0.0004912549326839437,261422.3125,96028.1875,18849.5625,0.021623723916155697,0.020532965090162367,0.02284735448301188,0.01723501271151423,0.016072725021002536,0.018768916203042756,0.004388711204641469,0.0029689714236241656,0.005642676162908527,0.016231702067238007,0.01528417509705087,0.01728136036076067,0.01415285682922402,0.013240198978486214,0.015336056286783696,0.0020788452380139876,0.0008445464090747948,0.003097484713786386,37166.6875,21450.0625,0.0164007078864611,3000,Fluid dynamics,16
2,0.023848653405654556,0.022568228874486455,0.025046558472488725,0.013200193055755469,0.012088252923730853,0.014260736858399308,0.01561347343705536,0.014400896180578557,0.016739203876980444,0.02666412610478793,0.02498999354423524,0.028315617831744883,-0.0033530646829523433,-0.004676676519534254,-0.002126974913476988,-0.0024132803812998913,-0.0026567061667119637,-0.0021880080093883685,0.027616482214251642,0.025136572904812166,0.03007267517743986,0.019772270051922024,0.01844855158241028,0.021256277797115232,0.007844212162329618,0.005604341657964915,0.010092395850962036,0.0193748395144881,0.017127592922227815,0.021840888148958744,0.017333062413973237,0.016004845225349645,0.01867107005346168,0.0020417771005148628,0.0005792135719649498,0.003714931314385311,-0.002815472699133378,-0.0034985217863503174,-0.0021538329413348313,123175.25,37389.0625,4811.75,0.03341707871176411,0.03165900378256828,0.03533951405256494,0.02529844860941463,0.02312745398808846,0.02785997444746982,0.008118630102349481,0.005828083205588594,0.010484856929097543,0.02637857300382445,0.024527038012416676,0.028364030640509595,0.022568735542039788,0.020643373569479265,0.024831163717616917,0.0038098374617846617,0.0017154112585638225,0.006124467842646122,11629.375,5910.75,0.0272017180886069,3000,Fluid dynamics,16
3,0.0314518427392335,0.029680281508904432,0.03319813146560519,0.018948086764594856,0.017277822862961617,0.020612431270746252,0.023326406033663052,0.021576207254013335,0.025039931608152013,0.036240546779908706,0.03374061548043189,0.03863501306353486,-0.005201836845058997,-0.007031262425276261,-0.0034980766881871394,-0.004378319269068196,-0.004842616193854948,-0.004006288773164332,0.03534382718439279,0.03232418779629385,0.038327258926264214,0.023033516011765506,0.02105810792399664,0.025244941037187194,0.012310311172627287,0.008835026205838802,0.015746568943908152,0.02668160219926688,0.023992558467860938,0.029359688612460855,0.021146250090566636,0.018960439188664906,0.023370411117071777,0.005535352108700244,0.0021238975097865953,0.009121506401276364,-0.004788704040675197,-0.006000104437693192,-0.0036120683576621195,73937.8125,19860.125,2057.8125,0.04099261669349388,0.03906170084170468,0.043011210814343406,0.028631354101008005,0.02588409636158004,0.031718737732870705,0.012361262592485874,0.009570112878431146,0.015049867386691273,0.03521484538690333,0.032529487427368727,0.03856024000821633,0.026948415462257888,0.023656187612112953,0.030827672873243617,0.008266429924645446,0.00383914428604482,0.012745470373751093,5540.1875,2656.1875,0.0366536795842925,3000,Fluid dynamics,16
4,0.03701325653132535,0.03493680692176425,0.03903385678932016,0.0223303953329584,0.02033370318552956,0.024216411494483947,0.030977485150637883,0.02872501432317682,0.03331771677200252,0.04391822354945707,0.04084612143496318,0.046918774601033414,-0.007233656393785145,-0.009353866569261928,-0.0051943772119237884,-0.008647089817679483,-0.009665568058712663,-0.007621676453985856,0.04034733569698952,0.03689456569184961,0.04382273707293933,0.024661086573029303,0.022224259957165798,0.027431622029106918,0.01568624912396022,0.01164893321844309,0.0197371133940132,0.031374859737801436,0.027590865762954084,0.03517318898615362,0.021257043992646694,0.017970482617565838,0.024509645389624957,0.010117815745154744,0.0048411436415033765,0.015252694570774586,-0.00690496701813172,-0.008630511920756536,-0.005193810213204476,52025.875,12747.0,1120.1875,0.044923863534318376,0.042685165184464566,0.04736807781489274,0.02998040105483918,0.027011797533165523,0.0331150148809872,0.014943462479479199,0.012141134428766803,0.017725516231659043,0.04014342278780221,0.03728784838294782,0.0432640663356635,0.026208790972916438,0.0219852569289657,0.03102440440468995,0.013934631814885775,0.008618647742106814,0.01857735241093503,3283.375,1505.5625,0.0442469129251105,3000,Fluid dynamics,16
5,0.042266611823763775,0.039784900704123966,0.044579998714042585,0.025871714563600913,0.02378584104738269,0.02788729391349881,0.03856721740025103,0.03569709300463063,0.04135619082475735,0.05091945651726585,0.04732739171515817,0.05451087800869747,-0.008890361117979126,-0.011375194518594227,-0.0065866517484081295,-0.012695502836650115,-0.014715165994035148,-0.010848097902758898,0.0446341486645811,0.040979185274957496,0.048185652178545826,0.026911576250537923,0.02301749376486911,0.030867250790769737,0.017722572414043174,0.012868235470347844,0.02264736855411422,0.03327700319735589,0.03051140617373035,0.03604713895632014,0.024743246941988758,0.019346919967217956,0.031302163514359764,0.00853375625536713,0.0009347448070248509,0.014762600234802857,-0.008652844693502077,-0.010900798527647151,-0.006547561876994031,38855.125,8729.8125,674.6875,0.04750125787315478,0.044352495750799595,0.05097088602036955,0.032596960587404286,0.028935723129427795,0.0364224430963848,0.014904297285750498,0.010988753532278114,0.01853055145478562,0.04056451085360528,0.03532109918556771,0.04521383490569713,0.025770166218158,0.019889257264995013,0.031756449909698926,0.014794344635447288,0.006592674691011032,0.023497261848302545,2115.1875,941.375,0.0511569729417429,3000,Fluid dynamics,16
6,0.046746548041694695,0.04395594550278954,0.04932066216859807,0.02950263885972072,0.02695061886859096,0.03217055199932876,0.046096105167067795,0.04267554423680412,0.04945416412411142,0.056799263638959194,0.052598210332160285,0.060853283604690535,-0.010225981631204204,-0.012963574922598626,-0.007695011666831694,-0.016593466307347076,-0.01918969057096291,-0.014584835022505209,0.04900595727702595,0.044712436209068195,0.05308135339364396,0.02811226447800705,0.023316150541432167,0.03288629840707184,0.0208936927990189,0.015439411797328464,0.026828229244264073,0.0395678079852419,0.035101966085732586,0.04447269088206314,0.02440734172609658,0.019690617342156186,0.029777245667043213,0.015160466259145319,0.007576593962697811,0.022630711643283823,-0.010052715597264499,-0.012513606543401038,-0.007669761337690268,30862.625,6436.375,448.0,0.05062066470253834,0.04722184105539278,0.05458537753020605,0.0362921062413155,0.030699733900254707,0.043158785165229606,0.014328558461222838,0.009007534148126533,0.019647976929643485,0.04177716732174021,0.03521822380667388,0.04798411116388658,0.03320330409562504,0.027101945564606003,0.039066995866340236,0.008573863226115162,-0.00037209719735235164,0.017512710269268723,1476.6875,627.125,0.0569725296728989,3000,Fluid dynamics,16
7,0.050913317871763314,0.04770696217529657,0.0539807084871062,0.03257759693498436,0.029584961136894433,0.0355143497413624,0.053564646643805246,0.049675907418237006,0.05741093809970693,0.06229631593789893,0.057846023546769224,0.0666979909578154,-0.011508547047648185,-0.014590202162577654,-0.008465494841739623,-0.020987049708820885,-0.023141806081823025,-0.019164445151027384,0.0521392872002623,0.04778428555288261,0.05650814966806397,0.029877943168786194,0.0232017865168049,0.03700173006193491,0.022261344031476102,0.015280781946005456,0.029362568647418874,0.03778651927006612,0.03388797279341216,0.04217808887519565,0.02514937219179318,0.016866498507069016,0.03414715139858425,0.012637147078272938,0.003236217611321162,0.021515485154819273,-0.011382998066135614,-0.01425922422366305,-0.008567093900262744,25086.3125,4880.75,314.125,0.054042514374893075,0.049904283565971284,0.05868831620413614,0.03764350495357807,0.030332761839157174,0.04624541364703781,0.016399009421315003,0.009426756297728255,0.023680845938238246,0.050792891181310244,0.04309242477180092,0.05853332787469738,0.04066617923115114,0.02807046200475019,0.054343697513907704,0.010126711950159111,-0.008341596914588228,0.028024141024009783,1058.875,438.25,0.0624218649194115,3000,Fluid dynamics,16
8,0.054584534391089415,0.051195190587398104,0.05790573052768622,0.03427610460814667,0.030418004399148837,0.038584061688221837,0.060973335866881494,0.056555620506396724,0.0653948547019159,0.06709221979621902,0.06216652845014888,0.07189616124425276,-0.012602369443894094,-0.015953152587173315,-0.009343005136039181,-0.026697231258734827,-0.0305953528998763,-0.023307761847536808,0.05638159554553521,0.05105680586086965,0.061528336468470356,0.03143833548832067,0.023770343501197125,0.039331534570155466,0.024943260057214527,0.017419070699888375,0.03269614080484942,0.04921304547649011,0.0422965657592001,0.056535046833665115,0.030604276387538293,0.0161130803143366,0.0499055716752454,0.01860876908895182,-0.0008626606656706011,0.03482145282154961,-0.012507685405129596,-0.015767580658000668,-0.009178141819036296,21052.625,3820.0,226.75,0.05492297022416949,0.04966093558448233,0.06177983489190583,0.0370071238347119,0.029504270978869658,0.045380523967026756,0.017915846389457583,0.01118690102720935,0.025009825010635894,0.04507583850933421,0.03833581903070563,0.051605965931993736,0.03942951551162996,0.027586383916701332,0.051779315240338644,0.005646322997704244,-0.006511006017871221,0.017978111533195007,792.875,321.0,0.0671869038349835,3000,Fluid dynamics,16
9,0.05831352249504618,0.054463411961935285,0.06204976178088941,0.037655344340623745,0.033810027405114955,0.041308002207728726,0.06832266275165944,0.0633283271726001,0.07331078878418561,0.0715747506875952,0.06635407711950203,0.07659680017358317,-0.013320841213497818,-0.017220489472838607,-0.009554166029413162,-0.03066731841103568,-0.03369961374795066,-0.028012500851781908,0.05822626179323345,0.05290754075154064,0.06360949371119379,0.03148067265708671,0.024391639698359564,0.038914083385596016,0.02674558913614674,0.02042035347696765,0.03304459044452815,0.05293768407273571,0.044845256207508004,0.06162720737240689,0.026336877003591913,0.014238537543020542,0.040674476012122276,0.0266008070691438,0.010458260599419927,0.04043584928774992,-0.01326122819254902,-0.017148452545381547,-0.009455295373173704,17923.75,3041.5625,169.0,0.05773625520152911,0.05128967766132106,0.06584104558891156,0.0364697075570641,0.027806379472271384,0.046066302272252065,0.021266547644465013,0.013232714987909016,0.02923525035326261,0.056189153428633745,0.043968534616181686,0.0677826888253913,0.03572539015206838,0.01797406970413178,0.057035769072053516,0.02046376327656536,-0.000968642585556462,0.04164400096941309,610.9375,242.75,0.071634363708544,3000,Fluid dynamics,16
