k,activ_prob_mean,activ_prob_mean_ci95_min,activ_prob_mean_ci95_max,activ_prob_raw_mean,activ_prob_raw_mean_ci95_min,activ_prob_raw_mean_ci95_max,raw_baseline_mean,raw_baseline_mean_ci95_min,raw_baseline_mean_ci95_max,baseline2_mean,baseline2_mean_ci95_min,baseline2_mean_ci95_max,base_diff_mean,base_diff_mean_ci95_min,base_diff_mean_ci95_max,raw_base_diff_mean,raw_base_diff_mean_ci95_min,raw_base_diff_mean_ci95_max,Prod_high_mean,Prod_high_mean_ci95_min,Prod_high_mean_ci95_max,Prod_low_mean,Prod_low_mean_ci95_min,Prod_low_mean_ci95_max,Prod_diff_mean,Prod_diff_mean_ci95_min,Prod_diff_mean_ci95_max,Prod_raw_high_mean,Prod_raw_high_mean_ci95_min,Prod_raw_high_mean_ci95_max,Prod_raw_low_mean,Prod_raw_low_mean_ci95_min,Prod_raw_low_mean_ci95_max,Prod_raw_diff_mean,Prod_raw_diff_mean_ci95_min,Prod_raw_diff_mean_ci95_max,base_diff2_mean,base_diff2_mean_ci95_min,base_diff2_mean_ci95_max,overall_den_mean,Prod_den_high1_mean,Prod_den_low1_mean,Imp1_high_mean,Imp1_high_mean_ci95_min,Imp1_high_mean_ci95_max,Imp1_low_mean,Imp1_low_mean_ci95_min,Imp1_low_mean_ci95_max,Imp1_diff_mean,Imp1_diff_mean_ci95_min,Imp1_diff_mean_ci95_max,Imp1_raw_high_mean,Imp1_raw_high_mean_ci95_min,Imp1_raw_high_mean_ci95_max,Imp1_raw_low_mean,Imp1_raw_low_mean_ci95_min,Imp1_raw_low_mean_ci95_max,Imp1_raw_diff_mean,Imp1_raw_diff_mean_ci95_min,Imp1_raw_diff_mean_ci95_max,Imp1_den_high1_mean,Imp1_den_low1_mean,baseline,min_works,topic,windows
0,0.00109208044009745,0.0010682864179849293,0.0011126312117115222,0.0005751727115416278,0.0005297330568467907,0.0006212306641453963,0.0,0.0,0.0,0.0004142906914987557,0.00040131640172632205,0.00042837477217477267,0.0005985441613015499,0.0005752054014731091,0.0006188224654736622,0.0005751727115416278,0.0005282612310281477,0.0006212270120900508,,,,,,,,,,,,,,,,,,,0.0006777897485986942,0.0006527160977621021,0.0007019510931158452,2663684.611111111,,,,,,,,,,,,,,,,,,,,,,,0.0004935362787959,3000,Soliton,18
1,0.01016069530046337,0.009380996927150676,0.0109254927628308,0.004092486924666884,0.0035518639438512065,0.004643509306512885,0.004092486924666905,0.003529565309023885,0.0046518576561587295,0.008298816611987196,0.007273810857291187,0.009330184567625703,0.001669284268704172,0.0008842498441444465,0.0024570946381393365,-2.1563576541656143e-17,-3.430897541376352e-17,-7.950815931560365e-18,0.016005960284150644,0.014014818321079462,0.01781477646896698,0.0100086645609101,0.008880752756750217,0.011176222844913108,0.005997295723240545,0.004620956600008062,0.007398760496366145,0.00910700388622495,0.007881893320002614,0.010333860549281752,0.007733747230837572,0.006789508578322472,0.008714524763124393,0.0013732566553873776,0.00022284706085914805,0.002621299784902304,0.0018618786884761753,0.0015459774013194076,0.0021772014748771733,163091.55555555556,41576.166666666664,12791.333333333334,0.01612048412901839,0.014731860128511295,0.017752752456994463,0.01203013707670248,0.011086466980531947,0.01301359187963233,0.0040903470523159105,0.0027696568674395543,0.005503443942287679,0.010100742338697493,0.00918076091647842,0.011179897864078636,0.010094500663543705,0.00907219559704261,0.01115021796396987,6.241675153788684e-06,-0.0011842940111619375,0.0011771984186749519,22349.555555555555,10378.055555555555,0.0084914110317592,3000,Soliton,18
2,0.01773501296305215,0.01641195376350523,0.01907584970563694,0.008276027693661616,0.00714302524472204,0.009470541676531559,0.008166782407907759,0.007080761169143655,0.009278406427566256,0.014241371591523657,0.012393787195836538,0.016132195535663515,0.0033487916895397507,0.002038272957060431,0.004689615323485532,0.00010924528575385755,-0.000277239660252617,0.00052832945788503,0.027808785682894313,0.024452929488754164,0.031044998690030544,0.015617972040125562,0.013457844126859837,0.017842786751446606,0.01219081364276875,0.00947843732806192,0.015062263360307032,0.01633832075638563,0.014275069627464125,0.018320880723223076,0.012896141005820884,0.011202263941561574,0.014689728484255994,0.0034421797505647497,0.0017311505044608733,0.005211287023356253,0.003493641371528494,0.0027636921631153145,0.0042092752057349995,74725.72222222222,15355.055555555555,3576.1666666666665,0.026941385456900478,0.02476958970383084,0.029227498376579775,0.016822360040070098,0.015254125803154791,0.01827332303167839,0.010119025416830383,0.007935630889960438,0.012421010311554457,0.017854411869494338,0.016184976032815455,0.0195981175831276,0.012922131083820884,0.011036579916695084,0.014643265033193065,0.004932280785673456,0.0029984928937377983,0.006862938636691252,7787.166666666667,2928.777777777778,0.0143862212735124,3000,Soliton,18
3,0.02416433418059407,0.0225332147725685,0.025789219576289615,0.011900629556840573,0.01045131741141879,0.013433594276579346,0.012222973004827824,0.010591499892442032,0.013877445040063914,0.01934036711101087,0.016827806048174965,0.02189357231515088,0.004724362632296973,0.0030823240522310103,0.006351085989179125,-0.0003223434479872523,-0.0011229165140023737,0.0004617536898097582,0.03789396720343698,0.033314223766688564,0.042509515672526234,0.01861721239085443,0.015569180835318226,0.021857752149656184,0.01927675481258255,0.01503856304464878,0.023968522225102793,0.024388776141069206,0.02101455127692336,0.027899850964660248,0.016050606056140598,0.013108368193310422,0.019206320264422986,0.008338170084928613,0.005080240139134909,0.012013216671107649,0.004823967069583202,0.003654601199392161,0.005947273630492545,45160.333333333336,8096.277777777777,1644.3333333333333,0.03527662267124019,0.03266574166862327,0.03803131955475336,0.021557447557377506,0.019403968680372707,0.023598071645233764,0.013719175113862687,0.010497596153078914,0.017146784921781465,0.02365820289244412,0.02073441826321486,0.026604700269942935,0.017475827843904498,0.014625722143658018,0.020468350052721497,0.006182375048539617,0.0012352008198283715,0.011142535289159799,4015.722222222222,1328.0555555555557,0.0194399715482971,3000,Soliton,18
4,0.029251387061030976,0.027390926451984016,0.031068612249807358,0.015540609204357366,0.013605528763879705,0.017409223999756876,0.016261144836593775,0.014138748941244488,0.01845599830942046,0.023344405899988492,0.020276637174023823,0.02647601563417303,0.0058042221582883784,0.003943455649285849,0.007626614428778728,-0.000720535632236408,-0.0017013619090855182,0.0002590770671139971,0.045326922186923954,0.039875688701816285,0.05111965038384252,0.02037637504108637,0.01686438598418683,0.02421320425078933,0.02495054714583759,0.019142941534981403,0.0314743519927118,0.03252026983830106,0.027546809207732226,0.03739936827361721,0.01805951420900252,0.013732693643495417,0.022434107721687576,0.014460755629298543,0.00900180065322188,0.019177331984398027,0.005906981161042485,0.0043227759772381255,0.007403022135127037,32168.444444444445,5197.222222222223,954.7777777777778,0.04201337739147718,0.03900032022609251,0.045394170113062286,0.024721017049726325,0.021341149102869113,0.028311410031028734,0.017292360341750856,0.013311179492862644,0.021633373861321515,0.0306704023167015,0.028031504084472247,0.033299647124335675,0.01875355380136456,0.013854749167565194,0.023461783785258674,0.011916848515336939,0.005858589145939711,0.017918189963711726,2540.6111111111113,749.7222222222222,0.0234471649027426,3000,Soliton,18
5,0.03383300432237514,0.03188862765498301,0.03579122301842031,0.018242228645634115,0.015736556372029607,0.020832979188772662,0.020281383592695698,0.01754913543559859,0.023020384262109606,0.02699629885157798,0.023498931847703575,0.030547957890439528,0.006753838141283042,0.004754233255835502,0.008722037805950328,-0.0020391549470615833,-0.0031154992001156687,-0.0010597204388292296,0.05118812015599036,0.04508852172739963,0.057712233323361284,0.021578221560122273,0.01654221439727214,0.026950436987382642,0.029609898595868094,0.02152055291762523,0.03900590792941405,0.035775877566656455,0.03065657139027491,0.04144017227399156,0.020445402364002777,0.013938732814094974,0.02754176447054731,0.015330475202653673,0.007453966370453949,0.023705564010764107,0.006836705470797162,0.004918744241494783,0.008776554794422941,24311.166666666668,3569.222222222222,615.1111111111111,0.04750641543244365,0.04352732610777295,0.0519717180241286,0.028470411828552786,0.023829259409785742,0.03342500022129821,0.019036003603890864,0.013464226388535767,0.024548860842367952,0.030592884027876424,0.02567651889925636,0.0358980880523211,0.03149255990003867,0.02224492423711536,0.043698810763392555,-0.0008996758721622616,-0.014034263226811715,0.00939544307735361,1717.0555555555557,473.8333333333333,0.0270791661810921,3000,Soliton,18
6,0.03783192745322579,0.035832019900479205,0.03980435354757528,0.02036366253562887,0.01780013086032427,0.023432609548632632,0.02428377453319727,0.021096789977896532,0.027499967532069094,0.030088591141308258,0.026189258919833383,0.034210484982369185,0.007679030084494389,0.005670391278863336,0.009664601652910927,-0.003920111997568396,-0.00601631426459787,-0.001963829604563318,0.05667194520027416,0.0500576213411331,0.06419318675520379,0.02214103980085515,0.017183330518561166,0.027571476610846666,0.03453090539941902,0.026023882080399116,0.044378236315381056,0.037269751648202586,0.03184413388681871,0.042627386131930886,0.016073311551060527,0.010165164683013768,0.022087588551324783,0.021196440097142052,0.012293516386758262,0.0304748410518322,0.007743336311917531,0.005293136438770571,0.010125330039081754,19469.38888888889,2627.777777777778,426.77777777777777,0.053730630667584135,0.04828875353026406,0.059501539869425364,0.02710590399278819,0.021981993898814774,0.03273967061166745,0.026624726674795953,0.01923119668259584,0.03382081940699307,0.0425013023371141,0.03544459043009276,0.049651428805770795,0.0269004549655824,0.018067499912056785,0.03698710389554029,0.015600847371531699,0.0035174095550530907,0.026880169916470957,1253.111111111111,327.8888888888889,0.0301528973687314,3000,Soliton,18
7,0.04185018751336785,0.03976276356026752,0.04394714622216883,0.023636001739471554,0.020707130600893825,0.02670846489920295,0.02826840249097343,0.024525786734696416,0.03203892141578464,0.033015433810578455,0.02866279914150004,0.037449868556713846,0.00879153119508015,0.006675271819576821,0.010857691735108123,-0.004632400751501874,-0.00662750637476531,-0.0026985699613766095,0.0629606190665292,0.05512223162293615,0.07174636499566002,0.02442283469294372,0.018516346703895258,0.03097073371015407,0.038537784373585474,0.028791271918632778,0.049723591107511025,0.04489875230773486,0.03697423377033002,0.05337113197345576,0.02174419667539653,0.012429614935595343,0.03205841480506705,0.023154555632338328,0.010583269555126782,0.03621051332692423,0.00883475370278939,0.005969667143671034,0.011630322985130798,15922.333333333334,1989.8333333333333,305.22222222222223,0.05751892415860502,0.05155659567160897,0.06389012077230682,0.027267250586616665,0.021755773486140956,0.03319104820879679,0.030251673571988356,0.02299432607119238,0.03749460407174179,0.04205024453137557,0.03397853036168713,0.05067958879609012,0.03030308633593985,0.018470675145426736,0.04242517695112147,0.011747158195435717,-0.00548874076389087,0.028765275084988093,940.2222222222222,234.94444444444446,0.0330586563182877,3000,Soliton,18
8,0.04532002895466005,0.04313448136180453,0.0474654464925927,0.026716351076873732,0.022882459848140444,0.030828834347447008,0.03223535187393645,0.02796549933539844,0.03651379826239846,0.035553087446070684,0.031001428696978018,0.04041531836030156,0.009713142227871348,0.007562867886427768,0.011817709575474832,-0.005519000797062725,-0.008566000762145058,-0.0026729084708920882,0.06754563835080021,0.05903698790804885,0.07758507838524478,0.025012185183302685,0.019006451570117062,0.03135225285824933,0.042533453167497536,0.03172908163795756,0.05446459340434115,0.04477011801872289,0.03857649458666864,0.050751353613555095,0.031188764885301076,0.01930127840681643,0.04444256619100794,0.013581353133421823,0.0007906638064731811,0.026402377659769154,0.009766941508589371,0.006475727148323104,0.013049483866902157,13433.5,1574.611111111111,231.05555555555554,0.06158826073811155,0.054998729858709766,0.06877352632621511,0.02742007825137423,0.01902629716581162,0.036714822245103404,0.03416818248673731,0.024705961927868635,0.043226096566398156,0.042310857074662214,0.03385016660995283,0.05112756796741162,0.012284381241881777,0.006302599420503446,0.018584949480498263,0.03002647583278043,0.018003889686763485,0.041678444356560464,738.0,173.55555555555554,0.0356068867267887,3000,Soliton,18
9,0.04854086719672105,0.04647710407090057,0.05055812254250391,0.02893486648478841,0.025679933886514277,0.03231430292451614,0.03618470666724978,0.03143401446422238,0.04099026126485244,0.03792926205720868,0.03294171194890809,0.04308838606264487,0.010547572851632048,0.00853158352563383,0.012597665545189655,-0.0072498401824613685,-0.009859785600190752,-0.00451565919383007,0.07346328574186632,0.0636478987594913,0.08506215059218351,0.02302470091504286,0.016039718758806044,0.030255318455458556,0.05043858482682346,0.038049007769445455,0.06424742730121612,0.056345953982857085,0.04457958176642509,0.07006258380611992,0.019561544003061888,0.008947897198311785,0.03149652955732848,0.03678440997979519,0.01769189818941777,0.056654735569540565,0.010611605139512367,0.006795234968739326,0.014333248961228284,11493.166666666666,1260.7222222222222,179.22222222222223,0.06652612148657841,0.059098828924581584,0.07454026528711116,0.03188365242580863,0.020474960978860403,0.04490552093837561,0.0346424690607698,0.022320890486956645,0.04611688674361225,0.052865711424738664,0.04089208468027984,0.06660569525515543,0.03235181801259115,0.014588134917023128,0.05416317133990191,0.020513893412147523,-0.006431266244331133,0.04575487728426874,585.6666666666666,133.83333333333334,0.037993294345089,3000,Soliton,18
