k,activ_prob_mean,activ_prob_mean_ci95_min,activ_prob_mean_ci95_max,activ_prob_raw_mean,activ_prob_raw_mean_ci95_min,activ_prob_raw_mean_ci95_max,raw_baseline_mean,raw_baseline_mean_ci95_min,raw_baseline_mean_ci95_max,baseline2_mean,baseline2_mean_ci95_min,baseline2_mean_ci95_max,base_diff_mean,base_diff_mean_ci95_min,base_diff_mean_ci95_max,raw_base_diff_mean,raw_base_diff_mean_ci95_min,raw_base_diff_mean_ci95_max,Prod_high_mean,Prod_high_mean_ci95_min,Prod_high_mean_ci95_max,Prod_low_mean,Prod_low_mean_ci95_min,Prod_low_mean_ci95_max,Prod_diff_mean,Prod_diff_mean_ci95_min,Prod_diff_mean_ci95_max,Prod_raw_high_mean,Prod_raw_high_mean_ci95_min,Prod_raw_high_mean_ci95_max,Prod_raw_low_mean,Prod_raw_low_mean_ci95_min,Prod_raw_low_mean_ci95_max,Prod_raw_diff_mean,Prod_raw_diff_mean_ci95_min,Prod_raw_diff_mean_ci95_max,base_diff2_mean,base_diff2_mean_ci95_min,base_diff2_mean_ci95_max,overall_den_mean,Prod_den_high1_mean,Prod_den_low1_mean,Imp1_high_mean,Imp1_high_mean_ci95_min,Imp1_high_mean_ci95_max,Imp1_low_mean,Imp1_low_mean_ci95_min,Imp1_low_mean_ci95_max,Imp1_diff_mean,Imp1_diff_mean_ci95_min,Imp1_diff_mean_ci95_max,Imp1_raw_high_mean,Imp1_raw_high_mean_ci95_min,Imp1_raw_high_mean_ci95_max,Imp1_raw_low_mean,Imp1_raw_low_mean_ci95_min,Imp1_raw_low_mean_ci95_max,Imp1_raw_diff_mean,Imp1_raw_diff_mean_ci95_min,Imp1_raw_diff_mean_ci95_max,Imp1_den_high1_mean,Imp1_den_low1_mean,baseline,min_works,topic,windows
0,0.017239287630361286,0.01683890010241197,0.017636937845133708,0.008341941218792915,0.007803284198561825,0.008883741379110383,0.0,0.0,0.0,0.011514417672058989,0.011150888919478947,0.011867277820035682,0.004507443538702286,0.004117589438139943,0.004894211578215954,0.008341941218792915,0.0077973992566738575,0.008883318683376941,,,,,,,,,,,,,,,,,,,0.005724869958302301,0.005313248234387374,0.00615707490225161,2265983.782608696,,,,,,,,,,,,,,,,,,,,,,,0.012731844091659,3000,Statistical physics,23
1,0.04345838859436674,0.041414482996249447,0.04572458885109346,0.021636196867176768,0.019967932321559394,0.023420624381832178,0.02163619686717677,0.019962977855471437,0.023396137772356572,0.04834556054484027,0.045593958720975304,0.05135052641487832,-0.006358462797841753,-0.008406594294627937,-0.004117219507453355,-1.6593007161517286e-18,-1.4632015406065243e-17,1.1464259493411943e-17,0.05181360867783335,0.04901627472322271,0.05480553781740245,0.04011168653371328,0.037685293493822616,0.042488079017701484,0.011701922144120061,0.010699858274338437,0.012964970474180085,0.034601573899384654,0.03228838382799294,0.03704266729777011,0.03325666937276432,0.031147890141347587,0.03535680667360736,0.0013449045266203255,0.0006232810035590951,0.002184067691444428,-0.00488717195047353,-0.005637812916325699,-0.004120658853497581,615460.3913043478,223999.4347826087,44391.34782608696,0.07660696384851014,0.07369126933463233,0.07990133610829124,0.05420738132339153,0.05206815383840058,0.05643563758687733,0.022399582525118585,0.020882500367937363,0.024065977406542507,0.05741575413431459,0.05454886762044195,0.06045130616096649,0.04681220236549501,0.04501152207925457,0.048690470256525085,0.010603551768819563,0.009182539199659067,0.012230114673749244,67739.86956521739,39106.65217391304,0.0498168513922085,3000,Statistical physics,23
2,0.06240587488322576,0.059057120754147235,0.06604778458451947,0.03446579801863812,0.03167308793138476,0.03752711312733934,0.04278637992219378,0.039522496713385445,0.04627216626190818,0.07523845760169491,0.07011941692891631,0.08040330961604733,-0.014016450321469231,-0.01727721587090445,-0.010460187543172557,-0.008320581903555667,-0.008878151151826543,-0.007769106730365934,0.07707691375084938,0.07241170012183597,0.0820836488174577,0.05944992983108152,0.05630409928998181,0.06264211004796165,0.017626983919767872,0.015599594794599485,0.020065741490877607,0.054666694388487334,0.050494396631838204,0.059048167990645474,0.05083367713134162,0.04784523716722786,0.05401857415379552,0.0038330172571457185,0.002245017304715635,0.005598515820484666,-0.012832582718469144,-0.014627495045283212,-0.011128094077913705,340281.5652173913,95564.47826086957,11498.608695652174,0.11625196691579302,0.11261042901594673,0.12046282608264533,0.07410002467248578,0.07109531283755612,0.07734741043006987,0.042151942243307226,0.03979211638342851,0.04454453847434988,0.09284284365941298,0.08880268377594666,0.09712356287498533,0.06570513551598443,0.06282274949673783,0.06878817014694168,0.027137708143428533,0.024526855180015725,0.02977735877843193,22267.608695652172,10487.08695652174,0.076422325204695,3000,Statistical physics,23
3,0.07888913255474499,0.07462928516326262,0.08356593249551975,0.04736104890488626,0.043343052933834746,0.0515721675334046,0.0634618886681641,0.058671186854447596,0.06849399892392573,0.09966774261611441,0.09272653164339188,0.10716559710790652,-0.021594349530817722,-0.025906182778364893,-0.016921518586892136,-0.016100839763277842,-0.017203092253553477,-0.01506340214633948,0.09733484470171166,0.09146068159846804,0.10355022339905419,0.07154788638522348,0.0681780613153509,0.07499001354686184,0.025786958316488178,0.022331280805612284,0.029676808862106947,0.07400518168061004,0.06822349649714571,0.07992356016382567,0.0630875802344183,0.05953179849542589,0.06657049864567084,0.010917601446191747,0.007513117213356075,0.01471898178705302,-0.02077861006136946,-0.023668833591069586,-0.01797278253964025,218693.13043478262,51795.86956521739,4768.391304347826,0.1420963335115884,0.13821346531298823,0.14672130309168047,0.0854760124690738,0.08146355366508892,0.08968701584586056,0.05662032104251461,0.05322848309026433,0.05979825475048003,0.11709870539899717,0.11266813970582834,0.12188707093791311,0.07968167484064365,0.07583735735229172,0.08378695888215026,0.03741703055835349,0.0344520199373869,0.040364421356868845,10676.565217391304,4467.347826086957,0.1004834820855627,3000,Statistical physics,23
4,0.09053011896900227,0.08593604407736617,0.09567128623364411,0.05652212636248284,0.05224243947925337,0.06112203075613163,0.08367378792812852,0.07743203645158926,0.09044184586576531,0.11860421977781599,0.11036994469575538,0.1273459426193969,-0.028854057344734133,-0.033443193586030706,-0.023793465665356336,-0.02715166156564565,-0.029363868730104138,-0.025098297540949967,0.11026139895267169,0.10404873595455914,0.11701579547577455,0.07869190796651304,0.0749516548137068,0.08241446267686911,0.031569490986158646,0.02729153565567561,0.036132025030813815,0.08539180576224431,0.0797708469981732,0.09124947968367643,0.07110895890299039,0.06631845461779724,0.07629655821575415,0.01428284685925392,0.009196137128536681,0.019854079274801078,-0.028074100808813736,-0.03194064321516359,-0.024305084761843166,161222.13043478262,33855.0,2586.4347826086955,0.1589883640314835,0.15460283024310315,0.16445174015776132,0.09029565984299841,0.08556088116504923,0.09499864868843043,0.06869270418848508,0.06387301186755975,0.07312162034166687,0.13543264306595912,0.13052772224621062,0.1404434978421447,0.08498078325520511,0.07915889015332161,0.09160040765274303,0.05045185981075398,0.04524420300186977,0.05512457397129787,6431.608695652174,2448.1304347826085,0.1193841763137364,3000,Statistical physics,23
5,0.10104358910717229,0.09601361214250001,0.10656184540611534,0.06663134842087817,0.06206754774572704,0.07127381619878911,0.10343287474407199,0.09591890759917164,0.11160262383721399,0.13611030121530868,0.12677974729928204,0.14619008625038132,-0.035716351242146206,-0.04070483588290384,-0.030296209678422285,-0.036801526323193834,-0.040548919949616825,-0.03336113526940848,0.12205221138038676,0.11511023691891832,0.12951946972594797,0.08372052679156454,0.07911298164029541,0.08825873971333385,0.03833168458882221,0.03321597998722925,0.044371366633065956,0.10057734107714608,0.09384231959948057,0.10751768360018149,0.08136728443698127,0.07586648264283287,0.08776317256995579,0.019210056640164803,0.01224204576956008,0.026580163603913763,-0.0350667121081364,-0.03996975115557301,-0.030360795739057082,124357.26086956522,23366.08695652174,1538.9565217391305,0.17205389277473443,0.16675178024472195,0.17874593595102464,0.09365007747203177,0.0887788385632394,0.09852028393075189,0.07840381530270267,0.07162639311456487,0.08600737361812004,0.146879565390533,0.1409879463582039,0.15371978960350782,0.09084130272231725,0.08376816127708862,0.09848616309745317,0.05603826266821577,0.04665703840294476,0.06509766157645389,4162.695652173913,1486.9565217391305,0.1367599403493185,3000,Statistical physics,23
6,0.1089581136277276,0.10365852030526665,0.11485402114499026,0.07253406250078023,0.06773207209209144,0.0778130836553306,0.12274968509664372,0.11366221567820452,0.1323045678885395,0.1502602333079294,0.13958186115740606,0.1615288603191238,-0.04192497646179791,-0.047330141438460406,-0.035861261371536224,-0.0502156225958635,-0.05487110201004056,-0.046057972589186646,0.1297159521014089,0.12251483909726463,0.1376839519779024,0.08491403652959453,0.07986515392483913,0.08985308880630613,0.04480191557181438,0.03942895303222993,0.050826608004849165,0.10578580589112081,0.09814150496352363,0.11494683644632027,0.07919583457924491,0.07007299385158969,0.08943434040940137,0.026589971311875894,0.015878760145544082,0.038783582855839216,-0.04130211968020177,-0.04698463480335696,-0.03588548234010281,101792.04347826086,17452.91304347826,1005.304347826087,0.18249099746484249,0.17675056855521637,0.18971344477722826,0.09511116637266123,0.08964158472207023,0.10056036996296708,0.08737983109218123,0.0801182388176335,0.0951504839093971,0.15943045841333062,0.15122885465000954,0.16821767055327064,0.09085824322756986,0.08282398220395865,0.09933487407511643,0.06857221518576077,0.057299980937450756,0.07921924440084319,2955.782608695652,983.4782608695652,0.1508830900895255,3000,Statistical physics,23
7,0.11670500900372825,0.11093762507289444,0.1231750667150338,0.08237373268185759,0.07664678815679149,0.08868500713411955,0.14163450045038897,0.13134534902298603,0.1522657016285949,0.16383165719815554,0.1521472506916548,0.1763316458139731,-0.04769021030038675,-0.05334765359788178,-0.04128211292110311,-0.059260767768531356,-0.06434380692445009,-0.054293136141932964,0.13768620143937857,0.13032662262671302,0.14566010291690243,0.08805111884460844,0.08199031850005829,0.09407244332513179,0.04963508259477011,0.043766896129070094,0.05560309433346257,0.11699210330901809,0.10827508066145415,0.1266142845434785,0.07826691860470404,0.06749678682615265,0.08903025405458821,0.038725184704314054,0.029240849486716965,0.048643917765633,-0.04712664819442727,-0.05336864895613815,-0.04099228945551239,84500.26086956522,13259.130434782608,680.7826086956521,0.19127647180815205,0.18452298876032214,0.19941051070042984,0.09712678945937443,0.09164606081202682,0.10262360743205169,0.0941496823487776,0.08552458066592968,0.10309313859747747,0.1616469665856898,0.15440180433367065,0.1689499030233575,0.09343721060616572,0.0838706139244117,0.10481252556387198,0.06820975597952404,0.05453260182261047,0.08057935798978957,2152.7391304347825,680.0869565217391,0.164395219304115,3000,Statistical physics,23
8,0.12260618296328872,0.11669886872249384,0.1290270674204174,0.08748357337375574,0.08147335473874569,0.0941977936892626,0.16009735412916828,0.14827342856753736,0.17216973245027192,0.17526560114249207,0.16323940156686786,0.18831874409120017,-0.05326542882846672,-0.05892802910972457,-0.04674397695457952,-0.07261378075541254,-0.07815966877255275,-0.06694311431493204,0.14330144746994483,0.13590276369094786,0.1508266141293704,0.0917766654382534,0.08606787990254001,0.09740702335868437,0.05152478203169143,0.04458506797900231,0.05828002989262534,0.12174251284810032,0.11304845293628948,0.13088734981690106,0.08470193776143133,0.07547227049709607,0.09454164983482691,0.037040575086669005,0.022963527406267673,0.05153404865831928,-0.052659418179203395,-0.059478758224397944,-0.045946697366065034,72418.73913043478,10525.08695652174,490.0869565217391,0.20090375583877623,0.19208569931910632,0.21130852839305947,0.0988359222964426,0.09245547549256097,0.10546682565804186,0.10206783354233363,0.08991467859455045,0.11470683872376211,0.17928508009499608,0.1687562800194443,0.19096784278108717,0.09430631159634448,0.08078652746423214,0.11071467824268356,0.08497876849865162,0.06289773554887733,0.10284591691547477,1642.695652173913,501.04347826086956,0.1758716117917554,3000,Statistical physics,23
9,0.12826850216242225,0.12236196138098052,0.13462335476892534,0.09309097330312557,0.08718376559771435,0.09978323285585178,0.17814803752631136,0.1657967233044287,0.19150109383605066,0.18608743973407255,0.17278256466835962,0.19972026466061504,-0.058459888428764845,-0.06441043097267785,-0.05192963545645345,-0.08505706422318579,-0.09208714919657529,-0.07822126366264724,0.14885194510947797,0.1415150766609283,0.15634326197182663,0.09462651191878928,0.08783881964473525,0.1019995752460361,0.05422543319068871,0.04719405271224114,0.0612163847648784,0.12761458498336595,0.11985000097188565,0.13572118966795954,0.08851142164929253,0.0742929053467957,0.10308272244296415,0.039103163334073404,0.02511549810119508,0.05452807228871795,-0.05781893757165027,-0.0654215206401902,-0.05062378533078793,62633.86956521739,8452.478260869566,354.0,0.20743746137472474,0.19811092944630856,0.21853674324340994,0.09994245347395689,0.09348524328710947,0.10684828142307227,0.1074950079007679,0.09472418230571081,0.12175739069598478,0.1796989456595476,0.16129701541140612,0.19976145495779643,0.09451989009976443,0.08148239421596556,0.10856546043865316,0.08517905555978322,0.0639011752889979,0.10957351127550367,1279.2608695652175,371.69565217391306,0.1867283905911871,3000,Statistical physics,23
