k,activ_prob_mean,activ_prob_mean_ci95_min,activ_prob_mean_ci95_max,activ_prob_raw_mean,activ_prob_raw_mean_ci95_min,activ_prob_raw_mean_ci95_max,raw_baseline_mean,raw_baseline_mean_ci95_min,raw_baseline_mean_ci95_max,baseline2_mean,baseline2_mean_ci95_min,baseline2_mean_ci95_max,base_diff_mean,base_diff_mean_ci95_min,base_diff_mean_ci95_max,raw_base_diff_mean,raw_base_diff_mean_ci95_min,raw_base_diff_mean_ci95_max,Prod_high_mean,Prod_high_mean_ci95_min,Prod_high_mean_ci95_max,Prod_low_mean,Prod_low_mean_ci95_min,Prod_low_mean_ci95_max,Prod_diff_mean,Prod_diff_mean_ci95_min,Prod_diff_mean_ci95_max,Prod_raw_high_mean,Prod_raw_high_mean_ci95_min,Prod_raw_high_mean_ci95_max,Prod_raw_low_mean,Prod_raw_low_mean_ci95_min,Prod_raw_low_mean_ci95_max,Prod_raw_diff_mean,Prod_raw_diff_mean_ci95_min,Prod_raw_diff_mean_ci95_max,base_diff2_mean,base_diff2_mean_ci95_min,base_diff2_mean_ci95_max,overall_den_mean,Prod_den_high1_mean,Prod_den_low1_mean,Imp1_high_mean,Imp1_high_mean_ci95_min,Imp1_high_mean_ci95_max,Imp1_low_mean,Imp1_low_mean_ci95_min,Imp1_low_mean_ci95_max,Imp1_diff_mean,Imp1_diff_mean_ci95_min,Imp1_diff_mean_ci95_max,Imp1_raw_high_mean,Imp1_raw_high_mean_ci95_min,Imp1_raw_high_mean_ci95_max,Imp1_raw_low_mean,Imp1_raw_low_mean_ci95_min,Imp1_raw_low_mean_ci95_max,Imp1_raw_diff_mean,Imp1_raw_diff_mean_ci95_min,Imp1_raw_diff_mean_ci95_max,Imp1_den_high1_mean,Imp1_den_low1_mean,baseline,min_works,topic,windows
0,0.0005961388663172399,0.0005242699443132667,0.0006685809989797401,0.000323274462544025,0.0002800395738235126,0.0003692724554303718,0.0,0.0,0.0,0.00023833472716876003,0.00020539590955312572,0.0002707633787449747,0.00031417832965264,0.00024274824336964314,0.00038656632289263816,0.000323274462544025,0.000279289900142298,0.00036830636648815075,,,,,,,,,,,,,,,,,,,0.00035780413914847993,0.00031728194521580074,0.00039910644533051447,2559060.35,,,,,,,,,,,,,,,,,,,,,,,0.0002819605366646,3000,Supersymmetry,20
1,0.010245242492452981,0.008244870328315805,0.012486201343788783,0.004800471114400635,0.0036911937236828473,0.006059950561929478,0.00480047111440064,0.003704138009238893,0.00608185180544852,0.009072827178578881,0.006968403605091396,0.011338489855011845,0.0011528138868037794,-0.0008330394792671541,0.0034654211232290687,-4.629543276513104e-18,-1.9157852387818862e-17,9.996886131402586e-18,0.018413734510919228,0.01528188517159405,0.022111304831497237,0.010045300905293679,0.008108228206704423,0.012146655371902905,0.008368433605625546,0.006534540186894651,0.010380625207499458,0.013128332699093937,0.010710175099258045,0.016038126679145975,0.008362009303148454,0.006671166411652966,0.01017294792719265,0.00476632339594548,0.003315963229105776,0.0063260255721219825,0.0011724153138740995,0.0009470351557843793,0.001359839472750852,81914.6,12837.45,8148.85,0.012943352929523694,0.010715507739033372,0.015295927842905286,0.01004043893408491,0.007590105002339901,0.012735932474640874,0.002902913995438785,0.0010523648445084994,0.004707409217084139,0.009959205236772179,0.008002649203845054,0.012006208170940459,0.00844210682433853,0.006230202550622538,0.010772260818821931,0.00151709841243365,-0.00024055193079600495,0.0031843162157810523,12496.75,5516.3,0.0090924286056492,3000,Supersymmetry,20
2,0.018646167667864127,0.015183072007204963,0.022589455230212288,0.010360149950945755,0.008211138552855867,0.012746363042417781,0.009570545434664585,0.007388268923137139,0.012058352266111122,0.01622168073745469,0.012469008605035001,0.02031867373044968,0.002372634226652623,-0.0010647039356488145,0.006113535826024172,0.0007896045162811705,0.00033476985446066504,0.0012324539958070114,0.029586062310490678,0.024893752981187435,0.03502113850095935,0.014049986508680942,0.011325554238534341,0.017084546402773414,0.015536075801809731,0.012558832361275534,0.01873835319026232,0.02355589583625516,0.019769392419917924,0.027740422613316884,0.012629048655622773,0.010459679627894293,0.014868517371954337,0.010926847180632386,0.007853431236151101,0.014213708439551817,0.0024244869304094344,0.0017990293058966532,0.0029612750852558403,32295.05,4069.7,2420.85,0.01920529613260485,0.01599026760641681,0.022525654262225595,0.01444848328317061,0.010550559732478227,0.019220061115166096,0.004756812849434236,0.0006688314050934493,0.008560600105428237,0.016145180296913482,0.013180948874835799,0.019206231076008252,0.013831373823219575,0.009872802695463983,0.018484222135350663,0.002313806473693905,-0.001584711235487107,0.005979495524677954,4007.45,1531.3,0.0162735334412115,3000,Supersymmetry,20
3,0.02504715311062249,0.020563061118128157,0.030256684640062446,0.016423176719271855,0.013183346374032408,0.01985660634132769,0.014310460944693737,0.011046976974629487,0.01797833233134532,0.022180753316628728,0.017018585048541354,0.02792045797628107,0.00279834216240239,-0.001802923112215294,0.008041111819448278,0.0021127157745781185,0.0008164828071407091,0.0033039299094941316,0.03569868426820987,0.029985791391175225,0.04226037901180965,0.01583175465725588,0.012131091041068687,0.020771097332683806,0.019866929610953998,0.01668343598729241,0.023100159870807112,0.03231096529513614,0.02712454575861314,0.03799060427586623,0.015015019423568868,0.010017516439323656,0.02066130167225765,0.01729594587156727,0.012866829543363777,0.021729878049163,0.002866399793993761,0.0018865830581519679,0.0037258293201252735,18309.9,1980.0,1141.5,0.02241737574224208,0.018820511018077503,0.026209955169039463,0.015253460993664106,0.010752735549974557,0.020688619376809853,0.007163914748577968,0.002338651038528006,0.011572973691973753,0.022226219161507535,0.017532310025865912,0.02729583234344558,0.015749752056314847,0.009877105450511252,0.022157820018156308,0.00647646710519269,-0.0003086783738928127,0.01353753253938182,1953.55,694.7,0.0222488109482201,3000,Supersymmetry,20
4,0.02921921560365187,0.023821261057004862,0.035520143748476035,0.022490689844274,0.01748854394351325,0.028134203064818935,0.01902045347380633,0.014607394543436512,0.023799456544999837,0.02691880051525391,0.020695945372488898,0.033656403876120795,0.0021767312677555663,-0.003147691424591593,0.008290350404365406,0.0034702363704676694,0.002450150511734416,0.004529324028459157,0.03812468107737475,0.031465082077064395,0.04610521470308967,0.016420186110016107,0.012078138695255715,0.022551204079589295,0.02170449496735864,0.017229846999770666,0.02649745552826634,0.03604187594867347,0.028054931419759364,0.04695733083468417,0.020595616828222824,0.013290785185619321,0.02892922619437492,0.015446259120450645,0.008050612695139642,0.022403060437464484,0.002300415088397952,0.0009151611200067965,0.003597478937029077,12399.45,1179.1,679.6,0.02247631561439458,0.01914383592498552,0.025922659429757994,0.014890957185108269,0.010213006008529337,0.020938623752708083,0.00758535842928631,0.0030319921219183585,0.012019844375480275,0.023755212324170077,0.01833997710858973,0.02958581922886112,0.014986987794952441,0.009381628857654579,0.021233187382635712,0.008768224529217637,0.0020243034060937215,0.01593529154724508,1192.95,398.0,0.0270424843358963,3000,Supersymmetry,20
5,0.031835219153323005,0.02641110012412467,0.03856170569617948,0.026094894272304207,0.020301025519462435,0.03368187942603797,0.023700756718200995,0.01821694061063869,0.029678117943274053,0.031202371179804005,0.02411619433348902,0.039071307612156075,0.00045841811783671314,-0.005070771973460414,0.00705228267980311,0.0023941375541032166,-0.00019971545614547436,0.0053792153971508605,0.03923607252095494,0.032674954474853024,0.047012880589640094,0.013821912131646828,0.009584796423609827,0.01923895604036881,0.025414160389308122,0.019897753350691473,0.031675864129686294,0.03792570034489996,0.026115444473671843,0.05375184468620118,0.013290558148626605,0.006671272582662433,0.02158709860020612,0.024635142196273347,0.013540717544317328,0.03653414961536748,0.0006328479735190049,-0.0014661031470572592,0.0026247760963177855,8963.5,764.75,440.4,0.021723261544135557,0.018717538821651874,0.024701068051595325,0.014323315796057324,0.008413792978767817,0.022020037919831956,0.007399945748078228,-0.0002528780244352345,0.01385571302030982,0.02083370332513326,0.015353678321076262,0.02641773453750717,0.01259757308048485,0.005353095016662788,0.021210039260340527,0.008236130244648409,-0.0031513283315752617,0.01907970490990227,791.9,253.65,0.0313768010354863,3000,Supersymmetry,20
6,0.03361911748450192,0.028185430370452538,0.04016823619917131,0.02966948731571023,0.024037520195242138,0.036725938607972776,0.02835160226219315,0.0217575899272061,0.03567331183765256,0.03489679523837752,0.026936095652977273,0.04366771926357369,-0.0014902122372657883,-0.007011921353463107,0.005117603666488516,0.001317885053517082,-0.0011564990533054964,0.0036195601361085445,0.040238051820860384,0.033694930553399165,0.04725994380778689,0.014087021446245318,0.010427852813079059,0.018855781356992903,0.026151030374615063,0.01948239225213859,0.0330782307900344,0.04756043176973243,0.035219553897601084,0.06201414077425453,0.01585313366593795,0.007310700622597482,0.028478776165976095,0.03170729810379448,0.014678495853916217,0.04888451411250042,-0.0012776777538756059,-0.004160035022492478,0.0014968743235834682,6881.05,548.25,313.5,0.021913223318295816,0.018480342469079862,0.025807926644017626,0.014539938588633528,0.007337599362257791,0.024485185885710557,0.00737328472966229,-0.002763692024671154,0.015266751505411907,0.02215814952807578,0.01678817418262476,0.028123341742998777,0.011507817657053821,0.005222858896547815,0.018364895678587796,0.010650331871021958,0.001023692072383813,0.020389133437541944,570.55,178.8,0.0351093297217677,3000,Supersymmetry,20
7,0.034686554597642326,0.029196660171046388,0.04109094000613199,0.030643839964224085,0.023611375732085323,0.039265651202081156,0.03297321959922617,0.025413893582307185,0.041639170546289926,0.03829623896751781,0.029636215629515034,0.04789164518681473,-0.00390503311401277,-0.009541900060230632,0.002723469255451701,-0.002329379635002083,-0.006191435260890138,0.0011723046180793526,0.03805366760233491,0.03180820821987586,0.0444086816640399,0.01372254108969106,0.010126685165904245,0.01738205605058285,0.024331126512643863,0.01809318245080488,0.03078543791860385,0.033852584538155456,0.026587154336644794,0.04205224989774754,0.01665487883837085,0.008514580967690685,0.025599071957231476,0.017197705699784606,0.006949414870994749,0.026257513276030778,-0.003609684369875483,-0.007370897547328843,-2.288489896186481e-05,5423.05,406.2,224.85,0.021851222463526866,0.01710032364215595,0.027025621491414003,0.017321868290475155,0.006567797917859419,0.03352214342172205,0.0045293541730517094,-0.012395998987631869,0.015903822277182778,0.016585665960284032,0.011183897205387408,0.022239651532426512,0.01510176108680148,0.005663829151732375,0.025516089500316242,0.0014839048734825544,-0.01171625990675748,0.013906091700994175,423.35,126.5,0.0385915877116551,3000,Supersymmetry,20
8,0.0355111287437665,0.030145456576953708,0.04177162330656013,0.029746727351290737,0.025053924283683974,0.0351082596574953,0.037565836152659994,0.029165341015080518,0.047195970219602174,0.041318955510101,0.03189415721563686,0.05177610579737284,-0.006096199154291502,-0.011334144924408679,-7.61471190115017e-05,-0.007819108801369257,-0.014581590322495357,-0.0018420723767762022,0.03936202194180642,0.03186721975426997,0.046998750318349165,0.012145074501785045,0.007770547776253679,0.016992263699445117,0.02721694744002138,0.020071126163465975,0.034785955611670846,0.05076950687600136,0.031482734167362844,0.07227594571672574,0.017173294196718925,0.007662335472374901,0.0276862642735603,0.033596212679282415,0.012324005674504597,0.05480567863287,-0.0058078267663345005,-0.010641288720764752,-0.0014532634305004612,4433.35,313.65,166.15,0.023513041692161736,0.018069820633711712,0.029877441102082333,0.0172701418228804,0.0052687009622916035,0.037043944499323286,0.006242899869281336,-0.014706417879098543,0.01936053618661925,0.025248110950075203,0.016904211758323903,0.03451452318721632,0.008137531328320796,0.0010416666666666651,0.016275062656641588,0.017110579621754406,0.005397174113089643,0.028757999898659122,329.4,93.85,0.041607327898058,3000,Supersymmetry,20
9,0.03682519355548733,0.030911168184467434,0.043462860916586896,0.032509853695782735,0.025731832337004285,0.04018177540922185,0.04212967729633954,0.03249559113634935,0.05278341345592256,0.044120378901595425,0.034204833363503696,0.055253457478728486,-0.0075798482672956745,-0.013365019446204158,-0.0006848878762341846,-0.009619823600556807,-0.014401100823492568,-0.005033792534678822,0.03551425624267814,0.02958898193269612,0.0414154912729986,0.012181389299478523,0.006521540316147303,0.020087057330637724,0.02333286694319962,0.01574634030128866,0.030901360101552547,0.036729327801641606,0.02509831630814842,0.04927316866005554,0.007514589666670004,0.000980392156862745,0.018036172340333025,0.029214738134971607,0.016823135844558336,0.04292555076542985,-0.007295185346108099,-0.012562762030567099,-0.002584822148983866,3677.25,243.35,127.8,0.02287156024209672,0.01707565372412861,0.0295990791223114,0.018512039032060137,0.004423017935146951,0.04085041263503161,0.004359521210036579,-0.020355230321922886,0.020613050488890783,0.02236729977538799,0.01181715634243206,0.03485156071461216,0.014340277777777776,0.0,0.03711805555555555,0.008027021997610217,-0.019492956543048476,0.029167135713551135,263.0,71.25,0.044405041822783,3000,Supersymmetry,20
